#TYPE Selected.Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResource
"SubscriptionName";"SubscriptionID";"Name";"ResourceGroupName";"ResourceType";"Location"
"Microsoft Azure Internal Consumption";"a4eae763-76d3-4e71-915f-cbe56a6bab9f";"mogadatabox";"databox";"Microsoft.Storage/storageAccounts";"westeurope"
"MoGa MSDN";"b13e2c64-5058-484a-a884-8013f6b9a732";"cs4b13e2c645058x484axa88";"cloud-shell-storage-westus";"Microsoft.Storage/storageAccounts";"westus"
"MoGa Secondary";"e286af66-7f90-4171-9800-802a1eed7266";"stagee286af667f904171980";"ARM_Deploy_Staging";"Microsoft.Storage/storageAccounts";"northeurope"
"MoGa Secondary";"e286af66-7f90-4171-9800-802a1eed7266";"DefaultWorkspace-e286af66-7f90-4171-9800-802a1eed7266-EUS";"DefaultResourceGroup-EUS";"Microsoft.OperationalInsights/workspaces";"eastus"
"MoGa Secondary";"e286af66-7f90-4171-9800-802a1eed7266";"Security(DefaultWorkspace-e286af66-7f90-4171-9800-802a1eed7266-EUS)";"defaultresourcegroup-eus";"Microsoft.OperationsManagement/solutions";"eastus"
"MoGa Secondary";"e286af66-7f90-4171-9800-802a1eed7266";"SecurityCenterFree(DefaultWorkspace-e286af66-7f90-4171-9800-802a1eed7266-EUS)";"defaultresourcegroup-eus";"Microsoft.OperationsManagement/solutions";"eastus"
"MoGa Secondary";"e286af66-7f90-4171-9800-802a1eed7266";"DefaultWorkspace-e286af66-7f90-4171-9800-802a1eed7266-WEU";"DefaultResourceGroup-WEU";"Microsoft.OperationalInsights/workspaces";"westeurope"
"MoGa Secondary";"e286af66-7f90-4171-9800-802a1eed7266";"Security(DefaultWorkspace-e286af66-7f90-4171-9800-802a1eed7266-WEU)";"defaultresourcegroup-weu";"Microsoft.OperationsManagement/solutions";"westeurope"
"MoGa Secondary";"e286af66-7f90-4171-9800-802a1eed7266";"SecurityCenterFree(DefaultWorkspace-e286af66-7f90-4171-9800-802a1eed7266-WEU)";"defaultresourcegroup-weu";"Microsoft.OperationsManagement/solutions";"westeurope"
"MoGa Secondary";"e286af66-7f90-4171-9800-802a1eed7266";"mgcloudshellstorage";"mgcloudshellstorage";"Microsoft.Storage/storageAccounts";"westeurope"
"MoGa Secondary";"e286af66-7f90-4171-9800-802a1eed7266";"mgnetworkwatcher";"mgcloudshellstorage";"Microsoft.Storage/storageAccounts";"northeurope"
