#TYPE Selected.Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResource
"SubscriptionName";"SubscriptionID";"Name";"ResourceGroupName";"ResourceType";"Location"
"msa-000228";"6401614f-9e27-430b-9f65-16759b4ff663";"AzureBackup_meu2sfsino001_70368813522362";"AzureBackupRG_westeurope_1";"Microsoft.Compute/restorePointCollections";"westeurope"
"msa-000228";"6401614f-9e27-430b-9f65-16759b4ff663";"AzureBackup_meu2sfstgrc001_70370009232332";"AzureBackupRG_westeurope_1";"Microsoft.Compute/restorePointCollections";"westeurope"
"msa-000228";"6401614f-9e27-430b-9f65-16759b4ff663";"AzureBackup_meu2sfstgrj001_70369495097038";"AzureBackupRG_westeurope_1";"Microsoft.Compute/restorePointCollections";"westeurope"
"msa-000228";"6401614f-9e27-430b-9f65-16759b4ff663";"AzureBackup_meu2sfstpga001_70369349989954";"AzureBackupRG_westeurope_1";"Microsoft.Compute/restorePointCollections";"westeurope"
"msa-000228";"6401614f-9e27-430b-9f65-16759b4ff663";"AzureBackup_meu2sfstpga002_70370620990349";"AzureBackupRG_westeurope_1";"Microsoft.Compute/restorePointCollections";"westeurope"
"msa-000228";"6401614f-9e27-430b-9f65-16759b4ff663";"AzureBackup_meu2sfstpgd001_70370477886666";"AzureBackupRG_westeurope_1";"Microsoft.Compute/restorePointCollections";"westeurope"
"msa-000228";"6401614f-9e27-430b-9f65-16759b4ff663";"AzureBackup_meu2sfstpgp001_70369808803758";"AzureBackupRG_westeurope_1";"Microsoft.Compute/restorePointCollections";"westeurope"
"msa-000228";"6401614f-9e27-430b-9f65-16759b4ff663";"AzureBackup_meu2sfstpgp002_70370812245076";"AzureBackupRG_westeurope_1";"Microsoft.Compute/restorePointCollections";"westeurope"
"msa-000228";"6401614f-9e27-430b-9f65-16759b4ff663";"NetworkWatcher_northeurope";"NetworkWatcherRG";"Microsoft.Network/networkWatchers";"northeurope"
"msa-000228";"6401614f-9e27-430b-9f65-16759b4ff663";"NetworkWatcher_westeurope";"NetworkWatcherRG";"Microsoft.Network/networkWatchers";"westeurope"
"msa-000228";"6401614f-9e27-430b-9f65-16759b4ff663";"AA-WestEu-SmallApp";"RG-WestEu-SAH-Dev-Transit";"Microsoft.Automation/automationAccounts";"westeurope"
"msa-000228";"6401614f-9e27-430b-9f65-16759b4ff663";"AA-WestEu-SmallApp/AzureAutomationTutorial";"RG-WestEu-SAH-Dev-Transit";"Microsoft.Automation/automationAccounts/runbooks";"westeurope"
"msa-000228";"6401614f-9e27-430b-9f65-16759b4ff663";"AA-WestEu-SmallApp/AzureAutomationTutorialPython2";"RG-WestEu-SAH-Dev-Transit";"Microsoft.Automation/automationAccounts/runbooks";"westeurope"
"msa-000228";"6401614f-9e27-430b-9f65-16759b4ff663";"AA-WestEu-SmallApp/AzureAutomationTutorialScript";"RG-WestEu-SAH-Dev-Transit";"Microsoft.Automation/automationAccounts/runbooks";"westeurope"
"msa-000228";"6401614f-9e27-430b-9f65-16759b4ff663";"AA-WestEu-SmallApp/AzureClassicAutomationTutorial";"RG-WestEu-SAH-Dev-Transit";"Microsoft.Automation/automationAccounts/runbooks";"westeurope"
"msa-000228";"6401614f-9e27-430b-9f65-16759b4ff663";"AA-WestEu-SmallApp/AzureClassicAutomationTutorialScript";"RG-WestEu-SAH-Dev-Transit";"Microsoft.Automation/automationAccounts/runbooks";"westeurope"
"msa-000228";"6401614f-9e27-430b-9f65-16759b4ff663";"AA-WestEu-SmallApp/StartAzureV2Vm";"RG-WestEu-SAH-Dev-Transit";"Microsoft.Automation/automationAccounts/runbooks";"westeurope"
